,Studio,Type,City,State/Province,Country
170,Purple Lamp, Developer,Vienna,Vienna,Austria
171,Rarebyte, Developer,Graz,Steiermark,Austria
172,Rarebyte, Developer,Vienna,Vienna,Austria
173,REDOX Game Labs, Developer,Salzburg,Salzburg,Austria
174,Sproing, Developer,Vienna,Vienna,Austria
175,Stadlbauer Marketing & Vertriebs, Publisher,Salzburg,Salzburg,Austria
176,stillalive studios, Developer,Innsbruck,Tyrol,Austria
177,SUNFOX Games, Online,Vienna,Vienna,Austria
178,Supertreat (Playtika), Mobile,Graz,Steiermark,Austria
179,Team Vienna, Online,Vienna,Vienna,Austria
180,THQ Nordic, Publisher,Vienna,Vienna,Austria
181,THQ Nordic, Publisher,Vienna,Vienna,Austria
182,Xendex Holding, Publisher,Graz,Steiermark,Austria
183,Zeppelin Studio, Developer,Vienna,Vienna,Austria
184,AzDimension, Developer,Baku,Baku,Azerbaijan
185,Jassim Albuarki, Mobile,Manama,Manama,Bahrain
186,Regnum Studio, Developer,Manama,Manama,Bahrain
187,TapStar Interactive Software, Developer,Dhaka,Dhaka,Bangladesh
188,Aliasworlds Entertainment, Developer,Minsk,Minsk,Belarus
189,Awem Studio, Developer,Mahilyow,Mahilyow,Belarus
190,Game Insight, Mobile,Minsk,Minsk,Belarus
191,Game Stream (Wargaming), Online,Minsk,Minsk,Belarus
192,Gameloft, Mobile,Minsk,Minsk,Belarus
193,Melsoft, Mobile,Minsk,Minsk,Belarus
194,Playtika, Mobile,Minsk,Minsk,Belarus
195,Saber Interactive, Developer,Minsk,Minsk,Belarus
196,Truly Social Games, Mobile,Minsk,Minsk,Belarus
197,Wargaming Minsk, Mobile,Minsk,Minsk,Belarus
198,Abrakam, Developer,Seraing,Liege,Belgium
199,bazookas, Serious Games,Brugge,West Flanders,Belgium
200,blugri, Mobile,Brussels,Brussels,Belgium
201,Bunnycopter, Developer,Leuven,Vlaams Brabant,Belgium
202,CatLab Interactive, Online,Ghent,Vlaanderen,Belgium
203,Crazy Monkey Studios, Developer,Kontich,Kontich,Belgium
204,DAE Studios, Developer,Kortrijk,West Flanders,Belgium
205,Drag ON Slide, Developer,Mons,Hainaut,Belgium
206,EUROSIS - ETI, Organization,Ghent-Zwijnaarde,Vlaanderen,Belgium
207,EXiin, Developer,Brussels,Brussels,Belgium
208,FISHEYE VR, Virtual Reality,Wetteren,East Flanders,Belgium
209,Fishing Cactus, Developer,Mons,Hainaut,Belgium
210,Flemish Games Association (FLEGA), Organization,Brussels,Brussels,Belgium
211,GriN Multimedia, Developer,Antwerp,Antwerp,Belgium
212,Happy Volcano, Developer,Leuven,Vlaams Brabant,Belgium
213,Hyperion Entertainment, Developer and Publisher,Brussels,Brussels,Belgium
214,I-Illusions, Developer,Brussels,Brussels,Belgium
215,Larian Studios, Developer,Ghent,Vlaanderen,Belgium
216,LuGus Studios, Developer,Genk,Limburg,Belgium
217,LuGus Studios, Developer,Hasselt,Limburg,Belgium
218,Monkube, Mobile,Leuven,Vlaams Brabant,Belgium
219,Neopica, Developer,Ghent,Vlaanderen,Belgium
220,On a Roll Studio, Developer,Leuven,Vlaams Brabant,Belgium
221,Pajama Llama Games, Developer,Ghent,Vlaanderen,Belgium
222,Rusty Bolt, Developer,Beernem,West Flanders,Belgium
223,Sevenedge, Developer,Temse,East Flanders,Belgium
224,Sileni Studios, Developer,Kontich,Kontich,Belgium
225,Softkinetic Studios, Developer,Brussels,Brussels,Belgium
226,Tale of Tales, Developer,Ghent,Vlaanderen,Belgium
227,Terragame Center, Virtual Reality,Namur,Wallonia,Belgium
228,The Artistocrats, Developer,Maasmechelen,Limburg,Belgium
229,Triangle Factory, Developer,Ghent,Vlaanderen,Belgium
230,Vetasoft, Mobile,Mons,Wallonia,Belgium
231,Wee Taps, Developer,Hasselt,Limburg,Belgium
232,Zeke Virant, Developer,Brussels,Brussels,Belgium
233,Triple Claim Game Collective, Mobile,Sarajevo,Sarajevo,Bosnia and Herzegovina
234,44 Bico Largo, Developer,Sao Paulo,Sao Paulo,Brazil
235,ABRAGAMES, Organization,Recife,Pernambuco,Brazil
236,Aquiris Game Studio, Developer,Porto Alegre,Rio Grande do Sul,Brazil
237,Behold Studios, Developer,Brasilia,Federal District,Brazil
238,BitCake Studio, Developer,Rio de Janeiro,Rio de Janeiro,Brazil
239,Black River Studios, Developer,Manaus,Amazonas,Brazil
